DateTime,Waterford,Galway,Donegal,Tipperary,Cork,Limerick,Longford,Roscommon,Kerry,Wexford,Clare,Kilkenny,Mayo,Cavan,Kildare,Meath,Westmeath,Wicklow,Laois,Sligo,Dublin,Offaly,Louth,Carlow,Leitrim,Monaghan
2017-11-25 00:11:01,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:12:15,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:13:28,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:14:39,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:16:01,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:17:17,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:18:41,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:19:52,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:21:05,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:22:16,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:23:42,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:25:01,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:26:15,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:27:28,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:28:43,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:29:59,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:31:19,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:32:30,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:33:44,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
2017-11-25 00:34:56,6.7,8.2,7.97,4.57,7.72,6.7,5.22,5.67,8.2,5.7,8.2,4.82,6.17,5.92,8.2,8.2,6.62,8.2,4.82,5.67,8.2,5.7,8.2,8.2,5.22,5.92
